BS_parsed.txt
zi	Preinitial1	Preinitial 2	Obstruent contact	Initial	A/B type	Medial	Nucleus	Final	Postcoda *-ʔ	Postcoda *-s		Source	
䞓	t- 			kʰ		r 	e 	ŋ 	 			B&SOC2015-10-13	
稱	 			tʰ		 	ə 	ŋ 	 			B&SOC2015-10-13	
棖	m- 			t	ˤ	r 	a 	ŋ 	 			B&SOC2015-10-13	
𣥺	m- 			t	ˤ	r 	a 	ŋ 	 			B&SOC2015-10-13	
橙	 			d	ˤ	r 	ə 	ŋ 	 			B&SOC2015-10-13	
澄	 			d		r 	ə 	ŋ 	 			B&SOC2015-10-13	
懲	m- 			t		r 	ə 	ŋ 	 			B&SOC2015-10-13	
程	C- 			l		r 	e 	ŋ 	 			B&SOC2015-10-13	
程	 			l		r 	e 	ŋ 	 			B&SOC2015-10-13	
呈	 			l		r 	e 	ŋ 	 			B&SOC2015-10-13	
承	m- 			t		 	ə 	ŋ 	 			B&SOC2015-10-13	
丞	m- 			t		 	ə 	ŋ 	 			B&SOC2015-10-13	
成	 			d		 	e 	ŋ 	 			B&SOC2015-10-13	
城	 			d		 	e 	ŋ 	 			B&SOC2015-10-13	
誠	 			d		 	e 	ŋ 	 			B&SOC2015-10-13	
盛	 			d		 	e 	ŋ 	 			B&SOC2015-10-13	
成	m- 			d		 	e 	ŋ 	 			B&SOC2015-10-13	
乘	Cə-			l		 	ə 	ŋ 	 			B&SOC2015-10-13	
塍	m- 			l		 	ə 	ŋ 	 			B&SOC2015-10-13	
逞	 		◦	l		r 	e 	ŋ 	ʔ 			B&SOC2015-10-13	
騁	 		◦	r		 	e 	ŋ 	ʔ 			B&SOC2015-10-13	
稱	mə-			tʰ		 	ə 	ŋ 		s 		B&SOC2015-10-13	
絺	 			qʰ		r 	ə	j 	 			B&SOC2015-10-13	
离	 		◦	r		 	a	j 	 			B&SOC2015-10-13	
魑	 		◦	r		 	a	j 	 			B&SOC2015-10-13	
螭	 		◦	r		 	a	j 	 			B&SOC2015-10-13	
鴟	 			tʰ		 	i	j 	 			B&SOC2015-10-13	
治	C- 			l		r 	ə 	 	 			B&SOC2015-10-13	
持	 			d		r 	ə 	 	 			B&SOC2015-10-13	
蚳	 			d		r 	i	j 	 			B&SOC2015-10-13	
坻	 			d		r 	i	j 	 			B&SOC2015-10-13	
遟	 			l		r 	ə	j 	 			B&SOC2015-10-13	
遲	 			l		r 	ə	j 	 			B&SOC2015-10-13	
池	Cə-			l		r 	a	j 	 			B&SOC2015-10-13	
踟	 			d		r 	e 	 	 			B&SOC2015-10-13	
馳	 			l		r 	a	j 	 			B&SOC2015-10-13	
篪	 			l		r 	e 	 	 			B&SOC2015-10-13	
弛	 		◦	l			a	j 	ʔ 			B&SOC2015-10-13	
恥			◦	n		r 	ə 	 	ʔ 			B&SOC2015-10-13	
齒	t- 			kʰ		 	ə 	ŋ 	ʔ 			B&SOC2015-10-13	
哆	t- 		◦	l			A	j 	ʔ 			B&SOC2015-10-13	
侈	t- 		◦	l		 	a	j 	ʔ 			B&SOC2015-10-13	
尺	 			tʰ		 	A 	k 	 			B&SOC2015-10-13	
